"","title","doi"
"1","Stacking with Recursive Feature Elimination-Isolation Forest for classification of diabetes mellitus","10.1371/journal.pone.0302595"
"2","Towards a Stacking Ensemble Model for Predicting Diabetes Mellitus using Combination of Machine Learning Techniques","na"
"3","Modelo predictivo de diabetes utilizando el proceso CRISP-DM para la prevención de la enfermedad implementando Machine Learning","10.17981/cesta.04.02.2023.02"
"4","Integrated bagging-RF learning model for diabetes diagnosis in middle-aged and elderly population","10.7717/peerj-cs.2436"
"5","Performance Evaluation of Supervised Machine Learning Classifiers for Type 2 Diabetes Mellitus Prediction","10.34248/bsengineering.1618267"
"6","Diabetes Risk Prediction Model Based on Improved XGBoost with Genetic Algorithm","10.1145/3727993.372805"
"7","Enhancing Healthcare: Machine Learning for Diabetes Prediction and Retinopathy Risk Evaluation","10.14569/IJACSA.2024.0150703"
"8","Effective Diabetes Prediction using an IoT-based Integrated Ensemble Machine Learning Framework","10.48084/etasr.8869"
"9","Prediction of diabetes using hybrid support vector machines with Artificial Bee Colony","10.1007/s13410-025-01478-x"
"10","Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence","10.1109/ACCESS.2024.3398198"
"11","A Machine Learning-Based Prediction Study for Type 2 Diabetic Mellitus","10.61173/zr192s24"
"12","Formulation of a Multi-Disease Comorbidity Prediction Framework: A Data-Driven Case Analysis on of Diabetes, Hypertension, and Cardiovascular Risk Trajectories","10.32996/jcsts.2023.5.3.12"
"13","Leveraging Data Mining Techniques for Presymptomatic Diabetes Likelihood Prediction","na"
"14","Integrated Ensemble Model for Diabetes Mellitus Detection","10.14569/IJACSA.2024.0150423"
"15","Advancing Diabetes Prediction: A Nuanced Six-Class Classification System and Risk Factor Interactions Investigation","10.2991/978-94-6463-300-9_71"
"16","Prediction of Type-II Diabetic through Blockchain Technology","10.17485/IJST/v18i15.3423"
"17","Predicting Diabetes Mellitus with Machine Learning Techniques","10.58564/IJSER.4.2.2025.315"
"18","An effective PO-RSNN and FZCIS based diabetes prediction and stroke analysis in the metaverse environment","10.1038/s41598-025-96541-2"
"19","Development of Diabetes Diagnosis Tool Using Machine Learning","10.30880/eeee.2024.05.01.001"
"20","A predictive machine learning framework for diabetes","10.31127/tuje.1434305"
"21","Data to Diagnosis: Evaluating Machine Learning Algorithms for Predictive Healthcare in Diabetes","10.21015/vtse.v13i3.2141"
"22","PREDICTIVE MODELING OF STROKE OCCURRENCE USING PYTHON FOR IMPROVED RISK ASSESSMENT","10.5937/jpmnt12-50921"
"23","A-Tuning Ensemble Machine Learning Technique for Cerebral Stroke Prediction","10.3390/app13085047"
"24","Enhancing accuracy in brain stroke detection: Multi-layer perceptron with Adadelta, RMSProp and AdaMax optimizers","10.3389/fbioe.2023.1257591"
"25","Early Prediction of Stroke Based on Deep and Machine Learning by Applying Medical Imaging and Tabular Data","10.18280/mmep.111228"
"26","Heart disease severity level identification system on Hyperledger consortium network","10.7717/peerj-cs.1626"
"27","A comprehensive explainable AI approach for enhancing transparency and interpretability in stroke prediction","10.1038/s41598-025-11263-9"
"28","An Intuitive Approach on Transfer Learning with an IBF+IHP Model for Stroke Classification and Prediction","10.48084/etasr.9031"
"29","Stroke Prediction Using Machine Learning Method with Extreme Gradient Boosting Algorithm","10.30812/matrik.v21i3.1666"
"30","Crunch Mode: Make Early Predictions about Risk of Stroke Using Machine Learning","10.56977/jicce.2025.23.1.17"
"31","Predicting Stroke Risk with Machine Learning and Hyperparameter Optimization","10.31466/kfbd.1538305"
"32","Comparative analysis of resampling algorithms in the prediction of stroke diseases","10.56919/usci.2123.011"
"33","Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data","10.56286/1vf19469"
"34","An Optimization Precise Model of Stroke Data to Improve Stroke Prediction","10.3390/a16090417"
"35","The Early Warning Signs of a Stroke: An Approach Using Machine Learning Predictions","10.4236/jcc.2024.126005 "
"36","Performance of Machine Learning Algorithms for Heart Disease Prediction: Logistic Regressions Regularized by Elastic Net,  SVM, Random Forests, and Neural Networks","na"
"37","Predictive Modelling of Stroke Occurrence among Patients using Machine Learning","na"
"38","Enhancing stroke prediction models: A mixing of data augmentation and transfer learning for small-scale dataset in machine learning","10.1016/j.cmpbup.2025.100198"
"39","Hybrid Features Binary Classification of Imbalance Stroke Patients Using Different Machine Learning Algorithms","10.46300/91011.2022.16.20"
"40","Privacy-enhanced heart stroke detection using Federated Learning and Homomorphic Encryption","10.1016/j.smhl.2025.100594"
"41","Detection of Stroke (Cerebrovascular Accident) Using Machine Learning Methods","10.17798/bitlisfen.1539189"
"42","Stroke Prediction Using Machine Learning","na"
"43","AN ANALYSIS OF BRAIN STROKE PREDICTION USING MACHINE LEARNING","na"
"44","Design and Development of Modified Ensemble Learning with Weighted RBM Features for Enhanced Multi-disease Prediction Model","10.1007/s00354-022-00190-2"
"45","Stroke Prediction Using the Trust Evaluation with Data Leakage Avoiding","10.1088/1742-6596/2560/1/012051"
"46","A Novel Explainable Attention-Based Meta-Learning Framework for Imbalanced Brain Stroke Prediction","10.3390/s25061739"
"47","Unlocking stroke prediction: Harnessing projection-based statistical feature extraction with ML algorithms","10.1016/j.heliyon.2024.e27411 "
"48","Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ","na"
"49","Optimizing Accuracy of Stroke Prediction Using Logistic Regression","10.37802/joti.v4i2.278"
"50","Enhanced Stroke Risk Prediction: A Fusion of Machine Learning Models for Improved Healthcare Strategies","10.1007/s42979-024-03389-w"
"51","Navigating Heart Stroke Terrain: A Cutting-Edge Feed-Forward Neural Network Expedition","10.47738/jads.v6i3.763"
"52","Stroke prediction based on improved machine learning algorithm","10.1117/12.2659156"
"53","Stroke risk prediction using multiple machine learning algorithms","10.1117/12.2673750"
"54","Predicting stroke risk: An effective stroke prediction model based on neural networks","10.1016/j.jnrt.2024.100156"
"55","A Hybrid Machine Learning Approach to Predict the Risk of Having Stroke","10.1145/3542954.3543020"
"56","Harnessing the hybrid machine learning methods for stroke risk classification","10.1080/10255842.2025.2501636"
"57","Comparative Evaluation of Machine Learning Models for Stroke Prediction in Clinical Settings","10.37256/ccds.6220256976"
"58","Fusing Attention and Convolution: A Hybrid Model for Brain Stroke Prediction","10.4108/eetsis.7022"
"59","A Web-Based Interface That Leverages Machine Learning to Assess an Individual’s Vulnerability to Brain Stroke","10.1109/ACCESS.2025.3566093"
"60","Brain stroke prediction model based on boosting and stacking ensemble approach","10.1007/s41870-023-01418-0"
"61","Stroke Disease Detection and Prediction Using Robust Learning Approaches","10.1155/2021/7633381"
